,complaint,coded_month,date_occur,count,crime,district,description,ileads_address,ileads_street,neighborhood,location_name,location_comment,cad_address,cad_street,x_coord,y_coord,crimeCatNum,crimeCatName,violent,property,dateOcc,timeOcc,weekday,dayNight,missing,,Type of Larceny,
1,19-038765,2019-08,8/1/2019 5:00,1,69702,5,LARCENY-ALL OTHER UNDER $500,5277,LINDELL BLVD,38,NA,NA,5277,LINDELL,884878.1,1023911,6,Larceny,FALSE,TRUE,8/1/2019,0:00:00,Thu,Day,FALSE,,All Other,8
2,19-038021,2019-08,8/1/2019 7:30,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,625,N EUCLID AVE,38,NA,NA,625,EUCLID,888580.9,1025734,6,Larceny,FALSE,TRUE,8/1/2019,2:30:00,Thu,Day,FALSE,,Bicycle,5
3,19-037363,2019-08,8/2/2019 12:30,1,69703,5,LARCENY-ALL OTH/FRM PRSN/UNDER $500,4021,LACLEDE AVE,38,NA,US POST OFFICE,4021,LACLEDE,892548.1,1020923,6,Larceny,FALSE,TRUE,8/2/2019,7:30:00,Fri,Day,FALSE,,From Building,14
4,19-037401,2019-08,8/2/2019 15:45,1,67701,5,LARCENY-FROM BUILDING UNDER $500,4489,FOREST PARK AVE,38,HONS WOK CHINESE RESTAURANT,NA,NA,NA,889164.2,1021486,6,Larceny,FALSE,TRUE,8/2/2019,10:45:00,Fri,Day,FALSE,,From Coin Machine,0
5,19-038594,2019-08,8/2/2019 20:30,1,66601,5,"LARCENY-BICYCLES $500 - $24,999",4405,WEST PINE BLVD,38,NA,NA,4405,WEST PINE,890212,1022241,6,Larceny,FALSE,TRUE,8/2/2019,15:30:00,Fri,Day,FALSE,,From Motor Vehicle,29
6,19-037782,2019-08,8/4/2019 8:59,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,400,N EUCLID AVE,38,NA,NA,400,EUCLID,888504.9,1025085,6,Larceny,FALSE,TRUE,8/4/2019,3:59:00,Sun,Day,FALSE,,Motor Vehicle Parts,12
7,19-037848,2019-08,8/4/2019 18:30,1,67701,5,LARCENY-FROM BUILDING UNDER $500,0,DELMAR BLVD / N EUCLID AVE,38,NA,NA,NA,NA,888628.4,1026138,6,Larceny,FALSE,TRUE,8/4/2019,13:30:00,Sun,Day,FALSE,,Purse Snatching,0
8,19-037964,2019-08,8/4/2019 19:30,1,66701,5,LARCENY-BICYCLES UNDER $500,399,N EUCLID AVE,38,NA,NA,NA,NA,888503.4,1025073,6,Larceny,FALSE,TRUE,8/4/2019,14:30:00,Sun,Day,FALSE,,Shoplifting,8
9,19-038527,2019-08,8/5/2019 12:00,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,402,N SARAH ST,38,NA,NA,402,SARAH,892994.3,1022559,6,Larceny,FALSE,TRUE,8/5/2019,7:00:00,Mon,Day,FALSE,,Total,76
10,19-038013,2019-08,8/5/2019 22:15,1,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",600,N EUCLID AVE,38,NA,NA,NA,NA,888580.9,1025734,6,Larceny,FALSE,TRUE,8/5/2019,17:15:00,Mon,Day,FALSE,,,
11,19-038292,2019-08,8/6/2019 14:00,1,67701,5,LARCENY-FROM BUILDING UNDER $500,224,N EUCLID AVE,38,NA,NA,227,EUCLID,888281.1,1023181,6,Larceny,FALSE,TRUE,8/6/2019,9:00:00,Tue,Day,FALSE,,Monetary Value,
12,19-038206,2019-08,8/6/2019 17:45,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4933,MCPHERSON AVE,38,NA,NA,4933,MCPHERSON,888212.5,1025308,6,Larceny,FALSE,TRUE,8/6/2019,12:45:00,Tue,Day,FALSE,,Under $500,53
13,19-039432,2019-08,8/7/2019 17:00,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4325,MARYLAND AVE,38,NA,NA,4325,MARYLAND,891339.9,1023071,6,Larceny,FALSE,TRUE,8/7/2019,12:00:00,Wed,Day,FALSE,,"$500 - $24,999",22
14,19-038573,2019-08,8/8/2019 16:00,1,69602,5,"LARCENY-ALL OTHER $500 - $24,999",4301,MARYLAND AVE,38,NA,NA,4301,MARYLAND,891546.3,1022999,6,Larceny,FALSE,TRUE,8/8/2019,11:00:00,Thu,Day,FALSE,,"Over $25,000",1
15,19-038611,2019-08,8/9/2019 10:20,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4605,OLIVE ST,38,NA,NA,4605,OLIVE,889588.8,1025368,6,Larceny,FALSE,TRUE,8/9/2019,5:20:00,Fri,Day,FALSE,,Total,76
16,19-038991,2019-08,8/9/2019 17:30,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4320,WEST PINE BLVD,38,NA,NA,4320,WEST PINE,891027.4,1021727,6,Larceny,FALSE,TRUE,8/9/2019,12:30:00,Fri,Day,FALSE,,,
17,19-038916,2019-08,8/9/2019 18:30,1,66601,5,"LARCENY-BICYCLES $500 - $24,999",4934,BUCKINGHAM CT,38,NA,NA,4934,BUCKINGHAM,887764.8,1022382,6,Larceny,FALSE,TRUE,8/9/2019,13:30:00,Fri,Day,FALSE,,Day,
18,19-039449,2019-08,8/10/2019 8:00,1,65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",4910,WEST PINE BLVD,38,NA,NA,4910,WEST PINE,888107.9,1022658,6,Larceny,FALSE,TRUE,8/10/2019,3:00:00,Sat,Day,FALSE,,Sunday,6
19,19-039015,2019-08,8/10/2019 14:00,1,65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",327,N TAYLOR AVE,38,NA,NA,327,TAYLOR,889423.9,1023738,6,Larceny,FALSE,TRUE,8/10/2019,9:00:00,Sat,Day,FALSE,,Monday,11
20,19-038888,2019-08,8/10/2019 21:25,1,67701,5,LARCENY-FROM BUILDING UNDER $500,28,MARYLAND PLZ,38,THE CUP,REAR,28,MARYLAND,888093.8,1023747,6,Larceny,FALSE,TRUE,8/10/2019,16:25:00,Sat,Day,FALSE,,Tuesday,7
21,19-038988,2019-08,8/10/2019 22:30,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4121,LACLEDE AVE,38,NA,NA,4121,LACLEDE,892359.4,1021131,6,Larceny,FALSE,TRUE,8/10/2019,17:30:00,Sat,Day,FALSE,,Wednesday,13
22,19-038912,2019-08,8/10/2019 22:50,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3930,LINDELL BLVD,38,DOMINOS,NA,3930,LINDELL,893823.1,1021538,6,Larceny,FALSE,TRUE,8/10/2019,17:50:00,Sat,Day,FALSE,,Thursday,11
23,19-040921,2019-08,8/10/2019 23:50,1,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",400,S KINGSHIGHWAY BLVD,38,CHILDERN S HOSPITAL,NA,400,KINGSHIGHWAY,887074.8,1020998,6,Larceny,FALSE,TRUE,8/10/2019,18:50:00,Sat,Night,FALSE,,Friday,19
24,19-039389,2019-08,8/11/2019 23:00,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,FOREST PARK AVE / S NEWSTEAD A,38,NA,NA,NA,NA,890020.1,1021176,6,Larceny,FALSE,TRUE,8/11/2019,18:00:00,Sun,Night,FALSE,,Saturday,9
25,19-039313,2019-08,8/12/2019 23:45,1,67701,5,LARCENY-FROM BUILDING UNDER $500,405,N EUCLID AVE,38,UP DOWN STL,NA,716,KINGSHIGHWAY,888427.1,1025176,6,Larceny,FALSE,TRUE,8/12/2019,18:45:00,Mon,Night,FALSE,,Total,76
26,19-039552,2019-08,8/13/2019 20:00,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4961,LACLEDE AVE,38,NA,NA,4961,LACLEDE,887544.8,1022410,6,Larceny,FALSE,TRUE,8/13/2019,15:00:00,Tue,Day,FALSE,,,
27,19-039879,2019-08,8/14/2019 17:10,1,65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,BAYARD AVE / DELMAR BLVD,38,NA,NA,NA,NA,889018.6,1026110,6,Larceny,FALSE,TRUE,8/14/2019,12:10:00,Wed,Day,FALSE,,Time of Day,
