,complaint,coded_month,date_occur,count,crime,district,description,ileads_address,ileads_street,neighborhood,location_name,location_comment,cad_address,cad_street,x_coord,y_coord,crimeCatNum,crimeCatName,violent,property,dateOcc,timeOcc,weekday,dayNight,missing,,Type of Larceny,
1,19-037589,2019-08,8/1/2019 12:00,1,69602,2,"LARCENY-ALL OTHER $500 - $24,999",4317,HUNT AVE,39,NA,NA,4317,HUNT,889670.3,1016004,6,Larceny,FALSE,TRUE,8/1/2019,7:00:00,Thu,Day,FALSE,,All Other,4
2,19-037323,2019-08,8/1/2019 20:30,1,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,0,S NEWSTEAD AVE / SWAN AVE,39,NA,NA,4400,MANCHESTER,888912.6,1016763,6,Larceny,FALSE,TRUE,8/1/2019,15:30:00,Thu,Day,FALSE,,Bicycle,1
3,19-038051,2019-08,8/3/2019 14:00,1,66601,2,"LARCENY-BICYCLES $500 - $24,999",4253,NORFOLK AVE,39,NA,NA,4253,NORFOLK,889968.1,1016716,6,Larceny,FALSE,TRUE,8/3/2019,9:00:00,Sat,Day,FALSE,,From Building,2
4,19-037735,2019-08,8/4/2019 1:30,1,67701,2,LARCENY-FROM BUILDING UNDER $500,4140,MANCHESTER AVE,39,BAR- THE ATOMIC COWBOY,NA,NA,NA,891133.3,1017378,6,Larceny,FALSE,TRUE,8/4/2019,20:30:00,Sun,Night,FALSE,,From Coin Machine,0
5,19-038354,2019-08,8/7/2019 21:45,1,63701,2,LARCENY-SHOPLIFT UNDER $500,4465,MANCHESTER AVE,39,URBAN CHESTNUT BREWING COMPANY,NA,4465,MANCHESTER,888440.3,1017117,6,Larceny,FALSE,TRUE,8/7/2019,16:45:00,Wed,Day,FALSE,,From Motor Vehicle,8
6,19-038587,2019-08,8/8/2019 1:30,1,69703,2,LARCENY-ALL OTH/FRM PRSN/UNDER $500,4454,VISTA AVE,39,NA,NA,4454,VISTA,888495.6,1015936,6,Larceny,FALSE,TRUE,8/8/2019,20:30:00,Thu,Night,FALSE,,Motor Vehicle Parts,1
7,19-038655,2019-08,8/9/2019 1:15,1,67701,2,LARCENY-FROM BUILDING UNDER $500,4100,MANCHESTER AVE,39,ATTITUDES NIGHTCLUB,NA,4100,MANCHESTER,891534.1,1017455,6,Larceny,FALSE,TRUE,8/9/2019,20:15:00,Fri,Night,FALSE,,Purse Snatching,0
8,19-038951,2019-08,8/10/2019 18:00,1,64701,2,LARCENY-FROM MTR VEH UNDER $500,920,S TAYLOR AVE,39,NA,NA,920,TAYLOR,888938.8,1018711,6,Larceny,FALSE,TRUE,8/10/2019,13:00:00,Sat,Day,FALSE,,Shoplifting,1
9,19-039915,2019-08,8/15/2019 22:00,1,69703,2,LARCENY-ALL OTH/FRM PRSN/UNDER $500,1218,S BOYLE AVE,39,NA,NA,1218,BOYLE,890631.5,1016836,6,Larceny,FALSE,TRUE,8/15/2019,17:00:00,Thu,Day,FALSE,,Total,17
10,19-040880,2019-08,8/20/2019 18:00,1,64701,2,LARCENY-FROM MTR VEH UNDER $500,1111,S TAYLOR AVE,39,NA,NA,1111,TAYLOR,888281.3,1017394,6,Larceny,FALSE,TRUE,8/20/2019,13:00:00,Tue,Day,FALSE,,,
11,19-041935,2019-08,8/23/2019 16:00,1,69602,2,"LARCENY-ALL OTHER $500 - $24,999",4145,PAPIN ST,39,NA,NA,4145,PAPIN,891286.7,1018391,6,Larceny,FALSE,TRUE,8/23/2019,11:00:00,Fri,Day,FALSE,,Monetary Value,
12,19-042136,2019-08,8/26/2019 18:00,1,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4230,MANCHESTER AVE,39,NA,NA,4230,MANCHESTER,890098.1,1017209,6,Larceny,FALSE,TRUE,8/26/2019,13:00:00,Mon,Day,FALSE,,Under $500,11
13,19-042064,2019-08,8/27/2019 0:36,1,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",4054,CHOUTEAU AVE,39,REHAB,PARKING LOT,4054,CHOUTEAU,891651.4,1017489,6,Larceny,FALSE,TRUE,8/27/2019,19:36:00,Tue,Night,FALSE,,"$500 - $24,999",6
14,19-042347,2019-08,8/27/2019 18:00,1,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",4552,ARCO AVE,39,NA,NA,4552,ARCO,887867.8,1017904,6,Larceny,FALSE,TRUE,8/27/2019,13:00:00,Tue,Day,FALSE,,"Over $25,000",0
15,19-042525,2019-08,8/28/2019 0:15,1,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",1100,KENTUCKY AVE,39,NA,NA,1100,KENTUCKY,890775,1017434,6,Larceny,FALSE,TRUE,8/28/2019,19:15:00,Wed,Night,FALSE,,Total,17
16,19-042770,2019-08,8/29/2019 7:00,1,65701,2,LARCENY-MTR VEH PARTS UNDER $500,4465,MANCHESTER AVE,39,NA,NA,NA,NA,888440.3,1017117,6,Larceny,FALSE,TRUE,8/29/2019,2:00:00,Thu,Day,FALSE,,,
17,19-042780,2019-08,8/29/2019 21:00,1,64701,2,LARCENY-FROM MTR VEH UNDER $500,4237,SWAN AVE,39,NA,NA,4237,SWAN,890072.9,1017069,6,Larceny,FALSE,TRUE,8/29/2019,16:00:00,Thu,Day,FALSE,,Day,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,2
